cancer_site_desc	icd10_3dig	icd10_4dig	cancer_group
Breast	C50	C500	Breast
Breast	C50	C501	Breast
Breast	C50	C502	Breast
Breast	C50	C503	Breast
Breast	C50	C504	Breast
Breast	C50	C505	Breast
Breast	C50	C506	Breast
Breast	C50	C508	Breast
Breast	C50	C509	Breast
CNS	C70	C700	CNS
CNS	C70	C701	CNS
CNS	C71	C710	CNS
CNS	C71	C711	CNS
CNS	C71	C712	CNS
CNS	C71	C713	CNS
CNS	C71	C714	CNS
CNS	C71	C715	CNS
CNS	C71	C716	CNS
CNS	C71	C717	CNS
CNS	C71	C718	CNS
CNS	C71	C719	CNS
CNS	C72	C720	CNS
CNS	C72	C722	CNS
CNS	C72	C724	CNS
CNS	C72	C725	CNS
CNS	C72	C728	CNS
Uterus	C54	C540	Gynaecological
Uterus	C54	C541	Gynaecological
Uterus	C54	C542	Gynaecological
Uterus	C54	C543	Gynaecological
Uterus	C55	C55	Gynaecological
Ovary	C56	C56	Gynaecological
Ovary	C57	C570	Gynaecological
Ovary	C57	C571	Gynaecological
Ovary	C57	C577	Gynaecological
Ovary	C57	C579	Gynaecological
Cervix	C53	C530	Gynaecological
Cervix	C53	C531	Gynaecological
Cervix	C53	C539	Gynaecological
Vulva/Vagina	C51	C510	Gynaecological
Vulva/Vagina	C51	C511	Gynaecological
Vulva/Vagina	C51	C512	Gynaecological
Vulva/Vagina	C51	C518	Gynaecological
Vulva/Vagina	C51	C519	Gynaecological
Vulva/Vagina	C52	C52	Gynaecological
Multiple myeloma	C90	C900	Haematological
Multiple myeloma	C90	C901	Haematological
Multiple myeloma	C90	C902	Haematological
Acute leukaemia	C91	C910	Haematological
Acute leukaemia	C92	C920	Haematological
Acute leukaemia	C92	C924	Haematological
Acute leukaemia	C92	C925	Haematological
Acute leukaemia	C93	C930	Haematological
Acute leukaemia	C94	C940	Haematological
Acute leukaemia	C94	C944	Haematological
Acute leukaemia	C95	C950	Haematological
Other haematological	C37	C37	Haematological
Other haematological	C84	C840	Haematological
Other haematological	C84	C841	Haematological
Other haematological	C84	C844	Haematological
Other haematological	C84	C845	Haematological
Other haematological	C88	C880	Haematological
Other haematological	C91	C913	Haematological
Other haematological	C91	C914	Haematological
Other haematological	C91	C915	Haematological
Other haematological	C91	C917	Haematological
Other haematological	C91	C919	Haematological
Other haematological	C92	C921	Haematological
Other haematological	C92	C923	Haematological
Other haematological	C92	C927	Haematological
Other haematological	C92	C929	Haematological
Other haematological	C95	C959	Haematological
Other haematological	C96	C960	Haematological
Other haematological	C96	C961	Haematological
Other haematological	C96	C962	Haematological
Other haematological	C96	C963	Haematological
Chronic lymphocytic leukaemia	C91	C911	Haematological
Non-Hodgkin lymphoma	C82	C820	Haematological
Non-Hodgkin lymphoma	C82	C821	Haematological
Non-Hodgkin lymphoma	C82	C822	Haematological
Non-Hodgkin lymphoma	C82	C829	Haematological
Non-Hodgkin lymphoma	C83	C830	Haematological
Non-Hodgkin lymphoma	C83	C833	Haematological
Non-Hodgkin lymphoma	C83	C834	Haematological
Non-Hodgkin lymphoma	C83	C835	Haematological
Non-Hodgkin lymphoma	C83	C837	Haematological
Non-Hodgkin lymphoma	C83	C838	Haematological
Non-Hodgkin lymphoma	C85	C851	Haematological
Non-Hodgkin lymphoma	C85	C857	Haematological
Non-Hodgkin lymphoma	C85	C859	Haematological
Hodgkin lymphoma	C81	C810	Haematological
Hodgkin lymphoma	C81	C811	Haematological
Hodgkin lymphoma	C81	C812	Haematological
Hodgkin lymphoma	C81	C813	Haematological
Hodgkin lymphoma	C81	C819	Haematological
