sx_new sx_old
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13 
14 14
15 15
16 16
12 17
17 18
18 19
19 20
13 21 
20 22
21 23
22 24
23 25
24 26
25 27
26 28
19 29 
20 30
21 31
27 32
28 33
29 34
30 35
31 36
32 37
33 38
24 39
25 40
34 41
35 42
36 43
37 44
38 45
39 46
40 47
41 48
42 49
43 50
44 51
2 52
3 53
4 54
45 55
46 56
5 57
38 58
47 59
43 60
48 61
49 62
50 63
51 64
17 65
22 66
52 67
41 68
42 69
53 70
54 71
16 72
55 73
56 74
57 75
58 76
59 77
60 78
61 79
62 80
63 81
29 82
44 83
54 84
64 85
65 86
66 87
67 88
68 89
45 90
46 91
69 92
70 93
71 94
72 95
73 96
74 97
75 98
76 99
77 100
78 101
79 102
56 103
59 104
15 105
63 106
80 107
81 108
82 999
83 888
