"Cancer Group","symptom_group","% (95% CI)"
"Head and neck (N = 2720)","Non-specific","13.1 (11.9, 14.4)"
"Head and neck (N = 2720)","Lump/mass/lymph node","32.6 (30.8, 34.4)"
"Head and neck (N = 2720)","Ulceration","16.4 (15.0, 17.8)"
"Head and neck (N = 2720)","Upper abdominal","5.74 (4.92, 6.67)"
"Head and neck (N = 2720)","Lower abdominal","0.51 (0.31, 0.86)"
"Head and neck (N = 2720)","Respiratory","26.9 (25.2, 28.6)"
"Head and neck (N = 2720)","Urological","0.07 (0.02, 0.27)"
"Head and neck (N = 2720)","Central nervous system","1.25 (0.90, 1.74)"
"Head and neck (N = 2720)","Musculoskeletal","0.51 (0.31, 0.86)"
"Head and neck (N = 2720)","Skin Lesion","0.15 (0.06, 0.38)"
"Head and neck (N = 2720)","Breast Symptoms","0.22 (0.10, 0.48)"
"Head and neck (N = 2720)","Female specific","0.07 (0.02, 0.27)"
"Head and neck (N = 2720)","Male specific","0.00 (0.00, 0.14)"
"Head and neck (N = 2720)","None recorded","17.5 (16.1, 18.9)"
"Upper GI (N = 2420)","Non-specific","28.8 (27.1, 30.7)"
"Upper GI (N = 2420)","Lump/mass/lymph node","0.62 (0.38, 1.02)"
"Upper GI (N = 2420)","Ulceration","0.17 (0.06, 0.42)"
"Upper GI (N = 2420)","Upper abdominal","66.3 (64.4, 68.2)"
"Upper GI (N = 2420)","Lower abdominal","15.1 (13.7, 16.6)"
"Upper GI (N = 2420)","Respiratory","8.80 (7.74, 10.00)"
"Upper GI (N = 2420)","Urological","0.70 (0.44, 1.12)"
"Upper GI (N = 2420)","Central nervous system","0.54 (0.31, 0.92)"
"Upper GI (N = 2420)","Musculoskeletal","1.86 (1.39, 2.48)"
"Upper GI (N = 2420)","Skin Lesion","0.00 (0.00, 0.16)"
"Upper GI (N = 2420)","Breast Symptoms","0.17 (0.06, 0.42)"
"Upper GI (N = 2420)","Female specific","0.12 (0.04, 0.36)"
"Upper GI (N = 2420)","Male specific","0.00 (0.00, 0.16)"
"Upper GI (N = 2420)","None recorded","12.4 (11.1, 13.8)"
"Lower GI (N = 6371)","Non-specific","21.7 (20.7, 22.8)"
"Lower GI (N = 6371)","Lump/mass/lymph node","1.82 (1.52, 2.18)"
"Lower GI (N = 6371)","Ulceration","0.13 (0.06, 0.25)"
"Lower GI (N = 6371)","Upper abdominal","14.2 (13.4, 15.1)"
"Lower GI (N = 6371)","Lower abdominal","63.6 (62.4, 64.8)"
"Lower GI (N = 6371)","Respiratory","4.14 (3.68, 4.66)"
