"symptom_group","Cancer Group","N_sx_Men","N_sx_Women","% (95% CI)_Men","% (95% CI)_Women"
"Non-specific","Head and neck","6086","4739","3.78 (3.33, 4.29)","3.19 (2.72, 3.73)"
"Non-specific","Upper GI","6086","4739","8.89 (8.20, 9.63)","5.34 (4.73, 6.02)"
"Non-specific","Lower GI","6086","4739","13.6 (12.8, 14.5)","16.5 (15.5, 17.6)"
"Non-specific","HPB","6086","4739","10.3 (9.53, 11.1)","11.5 (10.7, 12.5)"
"Non-specific","Respiratory","6086","4739","18.5 (17.5, 19.4)","20.1 (19.0, 21.3)"
"Non-specific","Urological","6086","4739","4.40 (3.92, 4.95)","4.07 (3.55, 4.67)"
"Non-specific","Haematological","6086","4739","17.0 (16.1, 17.9)","16.1 (15.1, 17.2)"
"Non-specific","CNS","6086","4739","1.63 (1.34, 1.98)","1.94 (1.59, 2.37)"
"Non-specific","Sarcoma","6086","4739","0.72 (0.54, 0.97)","0.89 (0.66, 1.20)"
"Non-specific","Skin","6086","4739","1.36 (1.10, 1.69)","1.79 (1.45, 2.21)"
"Non-specific","Ocular","6086","4739","0.07 (0.03, 0.17)","0.25 (0.14, 0.44)"
"Non-specific","Breast","6086","4739","0.03 (0.01, 0.12)","5.17 (4.57, 5.84)"
"Non-specific","Gynaecological","6086","4739","-","8.12 (7.38, 8.94)"
"Non-specific","Prostate and other male organs","6086","4739","15.9 (15.0, 16.8)","-"
"Non-specific","Other malignant neoplasms","6086","4739","0.59 (0.43, 0.82)","0.44 (0.29, 0.68)"
"Non-specific","Unknown primary","6086","4739","3.37 (2.94, 3.85)","4.49 (3.94, 5.12)"
"Lump/mass/lymph node","Head and neck","1180","1005","41.2 (38.4, 44.0)","43.1 (40.1, 46.2)"
"Lump/mass/lymph node","Upper GI","1180","1005","1.27 (0.77, 2.09)","0.10 (0.02, 0.56)"
"Lump/mass/lymph node","Lower GI","1180","1005","4.15 (3.16, 5.45)","6.77 (5.37, 8.49)"
"Lump/mass/lymph node","HPB","1180","1005","0.17 (0.05, 0.62)","0.60 (0.27, 1.30)"
"Lump/mass/lymph node","Respiratory","1180","1005","3.81 (2.86, 5.06)","4.58 (3.45, 6.05)"
"Lump/mass/lymph node","Urological","1180","1005","0.85 (0.46, 1.55)","0.60 (0.27, 1.30)"
"Lump/mass/lymph node","Haematological","1180","1005","32.9 (30.3, 35.6)","29.9 (27.1, 32.8)"
"Lump/mass/lymph node","CNS","1180","1005","0.08 (0.01, 0.48)","0.00 (0.00, 0.38)"
"Lump/mass/lymph node","Sarcoma","1180","1005","6.10 (4.87, 7.62)","5.27 (4.05, 6.83)"
"Lump/mass/lymph node","Skin","1180","1005","1.19 (0.71, 1.98)","1.19 (0.68, 2.08)"
"Lump/mass/lymph node","Ocular","1180","1005","0.00 (0.00, 0.32)","0.00 (0.00, 0.38)"
"Lump/mass/lymph node","Breast","1180","1005","0.00 (0.00, 0.32)","2.69 (1.85, 3.88)"
"Lump/mass/lymph node","Gynaecological","1180","1005","-","1.49 (0.91, 2.45)"
"Lump/mass/lymph node","Prostate and other male organs","1180","1005","1.61 (1.03, 2.50)","-"
"Lump/mass/lymph node","Other malignant neoplasms","1180","1005","0.51 (0.23, 1.10)","0.30 (0.10, 0.87)"
"Lump/mass/lymph node","Unknown primary","1180","1005","6.19 (4.95, 7.71)","3.48 (2.51, 4.80)"
"Ulceration","Head and neck","416","266","67.1 (62.4, 71.4)","66.9 (61.1, 72.3)"
"Ulceration","Upper GI","416","266","0.72 (0.25, 2.10)","0.38 (0.07, 2.10)"
"Ulceration","Lower GI","416","266","1.20 (0.51, 2.78)","1.13 (0.38, 3.26)"
"Ulceration","HPB","416","266","0.24 (0.04, 1.35)","0.00 (0.00, 1.42)"
"Ulceration","Respiratory","416","266","2.16 (1.14, 4.06)","1.13 (0.38, 3.26)"
"Ulceration","Urological","416","266","0.48 (0.13, 1.74)","0.00 (0.00, 1.42)"
