"Symptom Group","Symptom","Cancer Group","Cancer Site","N_Men","% (95% CI)_Men","N_Women","% (95% CI)_Women"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Head and neck","Larynx","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Head and neck","Oral cavity","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Head and neck","Oropharynx","76","1.32 (0.23, 7.08)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Head and neck","Thyroid","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Head and neck","Other head and neck","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Upper GI","Oesophagus","76","1.32 (0.23, 7.08)","82","1.22 (0.22, 6.59)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Upper GI","Stomach","76","1.32 (0.23, 7.08)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Lower GI","Anal","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Lower GI","Colon","76","3.95 (1.35, 11.0)","82","2.44 (0.67, 8.46)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Lower GI","Rectum","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","Lower GI","Small intestine","76","0.00 (0.00, 4.81)","82","0.00 (0.00, 4.48)"
"Non-specific","Non-specific - Bruising, bleeding or petechiae (Men=76, Women=82)","HPB","Liver","76","1.32 (0.23, 7.08)","82","2.44 (0.67, 8.46)"
